x,y,z
-1.0835120120797401,-0.9854912194006552,-3.3272746980395063e-06
-1.0837566671790955,-0.9854770013980507,-3.0028968366589692e-06
-1.084001155785224,-0.985462994717261,-3.29531742406311e-06
-1.0842458318467751,-0.9854490723619131,-2.9804578210862465e-06
-1.084536415664053,-0.9849592863624745,-2.5633788539071445e-06
-1.0847555138167362,-0.9845153887683081,-3.0183808265200895e-06
-1.0849406094288707,-0.9840931359759113,-2.643011796418099e-06
-1.0850891599528143,-0.9836983227673464,-2.945453008728477e-06
-1.0852147331841535,-0.9833531722872542,-2.5463023299553134e-06
-1.0853221716851638,-0.9830472045877046,-2.8432994032163983e-06
-1.083774614592455,-0.9736020161223753,2.0147384800391077e-06
-1.0795607849858193,-0.9545897239204106,-1.525061336389577e-06
-1.0716993745150307,-0.9260774179956993,-2.065557999062634e-06
-1.0593931885080707,-0.8884622692583637,-3.3179492169368996e-06
-1.0427409380315127,-0.8447120998307915,-2.8065364563005513e-06
-1.0243456088464622,-0.8003651464275534,-1.8362069183416874e-06
-1.0047221804861344,-0.7566870914005978,-3.432438241132013e-06
-0.983804047198261,-0.713527753294994,-2.782200887507802e-06
-0.9616761557311093,-0.6710299524680502,-2.0479280917126697e-06
-0.9382939862020502,-0.629083952806345,-2.88615019546426e-06
-0.9137079396908642,-0.5877006769543146,-2.4308814703735693e-06
-0.8879745841877985,-0.5468951397299467,-1.4785235748215886e-06
-0.8611426276789411,-0.5066687659538686,-3.154691087529221e-06
-0.8330428731217985,-0.4664776255384586,-2.3517237049477946e-06
-0.8040579645131227,-0.4263763447049165,-2.3494337755697314e-06
-0.7745929570636166,-0.38668708860174095,-2.085576545962642e-06
-0.7446559379802339,-0.3473441152425098,-2.4092985607508666e-06
-0.7142603194028376,-0.3083328618283425,-1.314182691440624e-06
-0.6834253742132977,-0.26965629889840986,-2.024154894066099e-06
-0.652163118219034,-0.23131114145970405,-2.336001474843169e-06
-0.6204868485459801,-0.19329152251856924,-1.2725306481609078e-06
-0.5884052184554681,-0.15557662685985418,-1.9692201308901813e-06
-0.5559511224995688,-0.11816848144550983,-2.2732397884951683e-06
-0.5231377766599944,-0.08106253962034093,-1.2270520799440021e-06
-0.4899689964667839,-0.04422476392322801,-1.9181484763944323e-06
-0.45649034660200105,-0.007657885349921019,-2.2110094692953663e-06
-0.42271324779842134,0.028642178502856015,-1.1845406500156364e-06
-0.38863890323218214,0.06471488194669295,-1.870159113688541e-06
-0.35431881064686704,0.10056000144184675,-2.1549512748582356e-06
-0.3197612736160966,0.13618140619952432,-1.1450385070596591e-06
-0.2849680095636612,0.171618216618629,-1.8289603753024464e-06
-0.24998931970800664,0.20687439200665206,-2.104192557517842e-06
-0.21483090625657725,0.24195378347947574,-1.1114926699237748e-06
-0.17949624479437754,0.27689099496155933,-1.7928712949880077e-06
-0.14403138604773474,0.311694817701512,-2.0638058411577564e-06
-0.10843792924354612,0.34636853582335586,-1.0809668429846708e-06
-0.07272272507774408,0.3809409658333812,-1.766518935721051e-06
-0.03692515883225144,0.41542388455537393,-2.0279863553150645e-06
-0.0012264470712504937,0.44964560645367874,-1.060632181939386e-06
0.034548214099500284,0.48405571355977406,-1.863847243179645e-06
0.069949643416144,0.5186667884305849,-9.347339722833026e-07
0.10505217713053505,0.5535815349314331,-1.6539747756949552e-06
0.1398735741007356,0.5887957012191697,-1.9025852159501588e-06
0.17447299000937924,0.6243076939884035,-9.83424320543519e-07
0.20886398249140922,0.6600548211344889,-1.7110472388531806e-06
0.24305073715100017,0.6960090846294182,-1.96692925629946e-06
0.2770820666360139,0.732162916143699,-1.0307152350369497e-06
0.3109774177090158,0.7684651732670162,-1.7534382651812619e-06
0.344856008656799,0.8047983144962829,-2.129103557235723e-06
0.37886763724446165,0.8408757779403695,-1.1795041974273224e-06
0.41317553875768787,0.8767060551303448,-1.867735320647268e-06
0.447743560679544,0.9122905676247017,-2.150931371049103e-06
0.4825647307145682,0.9476328930300932,-1.1436220915643502e-06
0.5176139122969553,0.9831061027048619,-1.921801722076094e-06
0.5523138376298444,1.0186332834479201,-1.0058769999259087e-06
0.5868490259722327,1.0543125209566708,-1.7269617952238303e-06
0.6212401948698075,1.0901367533037936,-1.986927630915486e-06
0.6555183279673291,1.1260961536517065,-1.0394083776212037e-06
0.6897014393542013,1.162159031892413,-1.7578592899081258e-06
0.7237941314363036,1.198308680545949,-2.025435204174031e-06
0.7578216044453449,1.2345352321034322,-1.0629458872118969e-06
0.7918011970452246,1.2708148513654753,-1.7823753283852106e-06
0.8257368026710898,1.3071336583569775,-2.051101607690453e-06
0.8596477123909131,1.3434831586376028,-1.0820048567880547e-06
0.8935499080792345,1.3798460511643211,-1.7957192631028185e-06
0.9274512114179958,1.416206847062722,-2.076603752086681e-06
0.9613673339422987,1.4525563653863838,-1.0904994779889488e-06
0.9953037974212413,1.4888900303788948,-1.8059255920861716e-06
1.0292642594773103,1.5251963101523631,-2.081058526944707e-06
1.0632606591060405,1.561470861842925,-1.0974005912878226e-06
1.09729702659127,1.59770993188573,-1.8067151791659186e-06
1.1313746707124392,1.6339051965457825,-2.0849112723833607e-06
1.1655016475076507,1.6700553958545141,-1.0957403268896382e-06
1.1996814994529537,1.7061578349227207,-1.8080659373170826e-06
1.2339127237958514,1.742206493856467,-2.0797513555527447e-06
1.2682003086941913,1.77820311073761,-1.0954932098787562e-06
1.3025469816810797,1.8141453307436597,-1.8025551348742341e-06
1.3369503419018078,1.8500296241009264,-2.0753534212790414e-06
1.3714111368257698,1.8858596353835064,-1.0895983299334666e-06
1.4059325654677304,1.921633402669839,-1.7984876928348048e-06
1.4405106207190637,1.9573493665195791,-2.0660491149085414e-06
1.4751442950491593,1.993012793517534,-1.0846285946747303e-06
1.5098355601087903,2.02862184142924,-1.7915793252901158e-06
1.5381693523394855,2.0578499763602855,-1.90980794120138e-06
1.559356663371555,2.0800599330393332,-8.126296125801624e-07
1.5734767242869985,2.0951980551106013,-2.1675820506134036e-06
1.58061256715085,2.103176419509862,-8.362754539865958e-07
1.5835148096606348,2.1069735319800467,-3.3446319166151317e-06
1.5918921746863464,2.117411855768891,-1.1204197699343776e-06
1.606043341756192,2.1360058945035756,-8.684207806544664e-07
1.6253191282584047,2.163251123641154,-1.627347943431584e-06
1.649098762473417,2.1995612949069554,-1.7713763926056891e-06
1.673586764066752,2.239876840189836,-1.7210720920438072e-06
1.6924994886172398,2.2731162077436626,-1.0641848407454135e-06
1.7057014195949733,2.2980679054496886,-2.185996737860685e-06
1.7136755010685907,2.3144757457234553,-2.0678068694615637e-06
1.7168939042886895,2.3220652540960445,-4.69151074430213e-06
1.7171830325989073,2.323913419988592,-4.8364503557850325e-06
1.7166455602899326,2.3239122381448607,-4.559356925608327e-06
1.7190693195564504,2.3325225865266135,-2.6398457106530104e-06
1.7236923258947696,2.3507697453375176,-1.0209919738858597e-06
